iter,compliance,volume,tip_dy
1.0,1007.0221007144955,0.5,-1007.022100722143
2.0,578.0008663233596,0.5000051330748939,-578.0008663247906
3.0,410.77565433775294,0.4999946690565311,-410.77565433849236
4.0,346.63459885504307,0.49999950587544306,-346.63459885474236
5.0,327.758862960137,0.49999390961134454,-327.7588629610659
6.0,315.0515711766021,0.49999431170865477,-315.0515711765453
7.0,305.3321349395086,0.5000058555486394,-305.33213493912604
8.0,296.0284794533103,0.4999974148437294,-296.0284794532236
9.0,287.4754446569974,0.49999245084690797,-287.47544465703885
10.0,279.6351472471787,0.5000063499336644,-279.63514724743266
11.0,272.47611622751293,0.4999949889894311,-272.4761162275204
12.0,265.0938283040432,0.5000195198341143,-265.09382830374756
13.0,257.5559515249848,0.4999955803529241,-257.555951524814
14.0,250.1807507047155,0.500002249057184,-250.18075070420582
15.0,243.1804516131723,0.4999927855938078,-243.18045161336954
16.0,237.5399727540261,0.4999986210103343,-237.53997275431948
17.0,233.75490759630856,0.499992173777341,-233.75490759613768
18.0,230.74405947177092,0.4999974154770549,-230.744059471889
19.0,228.1889056796508,0.5000023780393744,-228.1889056792761
20.0,226.1334953840763,0.4999963545924324,-226.13349538369488
21.0,218.58082474429364,0.5016432032213346,-218.580824744539
22.0,218.2802463769189,0.5000021769983204,-218.28024637702813
23.0,217.53067311505163,0.4999929139229934,-217.5306731150971
24.0,216.94789070474204,0.5000024975058637,-216.94789070452393
25.0,216.50782346589034,0.49999855180189523,-216.5078234660848
26.0,227.309206298758,0.4999949019499854,-227.3092062986786
27.0,226.57307473346773,0.49999946073201157,-226.5730747332505
28.0,226.04012494696133,0.500002197005742,-226.0401249469344
29.0,225.63059761785394,0.4999996280983792,-225.63059761783677
30.0,225.3188052993524,0.49999915150151425,-225.31880529924
31.0,225.07352662942532,0.5000036542582607,-225.07352662961642
32.0,224.88599946732575,0.49999889113305473,-224.8859994676892
33.0,224.7407416676328,0.5000000887311711,-224.74074166781202
34.0,224.62712564455995,0.4999999282847655,-224.62712564500222
35.0,224.53537144142314,0.49999674446672543,-224.5353714414744
36.0,224.45172432861094,0.5000022214153526,-224.45172432861077
37.0,224.38362934126548,0.4999969283438808,-224.38362934151473
38.0,224.31645588679436,0.5000027532631485,-224.31645588658745
39.0,224.2573035133775,0.5000016786958845,-224.25730351337245
40.0,224.202318144042,0.5000015647788817,-224.20231814424494
41.0,207.9705576500234,0.5023346300882362,-207.97055764983884
42.0,208.6453054530196,0.49999858437473343,-208.64530545271703
43.0,208.5413954762193,0.4999987325806591,-208.54139547604433
44.0,208.46190434468218,0.5000013447796179,-208.46190434439376
45.0,208.39540103856626,0.5000000109597897,-208.39540103877334
46.0,208.3390001232696,0.49999945644871263,-208.3390001237052
47.0,208.29064120015494,0.5000010461400645,-208.29064120035193
48.0,208.2500529538379,0.4999987131161101,-208.2500529536985
49.0,208.21251755062872,0.5000004577159372,-208.21251755071597
50.0,208.1787315606383,0.49999904316953603,-208.17873156050518
51.0,208.14475353470323,0.5000012541851184,-208.14475353507925
52.0,208.11255514029955,0.49999961405825466,-208.1125551401489
53.0,208.08028140031269,0.5000012415823104,-208.08028140036413
54.0,208.05080724012308,0.5000015741763012,-208.05080724057825
55.0,208.02571831438743,0.4999984004129605,-208.0257183139504
56.0,208.00199732118233,0.49999968349761864,-208.00199732163685
57.0,207.98061127519426,0.5000001594003911,-207.98061127511107
58.0,207.96115883847028,0.49999835792842284,-207.96115883852747
59.0,207.94049939457585,0.5000007003297811,-207.94049939481522
60.0,207.92083736441776,0.4999990944217618,-207.92083736437166
61.0,195.55284311223102,0.5008345595283529,-195.5528431123812
62.0,195.6321737816441,0.5000005631632601,-195.63217378158262
63.0,195.5782370594883,0.4999982138671053,-195.57823705931816
64.0,195.60916238812877,0.49999916042328474,-195.6091623879214
65.0,195.50418371944895,0.5000018900745399,-195.50418371955064
66.0,195.50380724471927,0.49999951325421316,-195.5038072449188
67.0,195.43796387695605,0.4999994440938402,-195.43796387715946
68.0,195.41848884626512,0.5000002127298857,-195.4184888464062
69.0,195.39106159787553,0.5000004522596472,-195.39106159800104
70.0,195.394871934788,0.5000006847442251,-195.39487193510223
71.0,195.3754998546213,0.5000013065224103,-195.37549985444832
72.0,195.36127054335327,0.5000005986852168,-195.36127054351311
73.0,195.31545658979255,0.5000000073105575,-195.31545658942983
74.0,195.2681205138971,0.5000007925147889,-195.26812051409348
75.0,195.23827637081985,0.5000002483485315,-195.23827637074197
76.0,195.23132510214978,0.4999998096893688,-195.23132510203698
77.0,195.22275318235216,0.49999961234704243,-195.2227531826384
78.0,195.2218815828993,0.49999985786092227,-195.22188158300418
79.0,195.21668348292002,0.5000000548620585,-195.2166834832413
80.0,195.21665253220087,0.5000002228983872,-195.2166525323281
81.0,195.21272231255023,0.4999996638992862,-195.2127223123818
82.0,195.21339741674637,0.4999997198920742,-195.2133974174244
83.0,195.21021288142163,0.5000002291475899,-195.21021288137229
84.0,195.21120085987422,0.4999999901911775,-195.2112008601785
85.0,195.20885842799657,0.4999996317231016,-195.20885842795158
86.0,195.2097103828228,0.500000313655368,-195.20971038271944
87.0,195.20780902833272,0.5000001306409342,-195.2078090281813
88.0,195.20878152279482,0.4999998944815034,-195.20878152289376
89.0,195.2071061567288,0.5000003880513746,-195.2071061568779
90.0,195.2078928642793,0.5000007124924896,-195.20789286451992
91.0,195.20665240467957,0.5000003432970475,-195.20665240471914
92.0,195.2074886287349,0.5000004034001082,-195.20748862850942
93.0,195.20642551727633,0.5000000938399964,-195.20642551750214
94.0,195.20748093452556,0.49999997965580517,-195.20748093480216
95.0,195.206303808063,0.4999999200888166,-195.2063038080643
96.0,195.20783684785354,0.4999998806842847,-195.20783684808617
97.0,195.2060718694201,0.5000002361909782,-195.20607186945114
98.0,195.2075393556189,0.5000001608377266,-195.20753935569138
99.0,195.2058689504254,0.4999999678137114,-195.20586895090997
100.0,195.20714193793555,0.500000540001216,-195.2071419380842
101.0,195.2057288981519,0.499999832888768,-195.20572889787573
102.0,195.20685764085204,0.5000007703630375,-195.20685764124005
103.0,195.20564583058774,0.49999963770434436,-195.20564583079982
104.0,195.20692808062478,0.4999995562812787,-195.20692808105773
105.0,195.20558468687148,0.4999996044424233,-195.20558468689535
106.0,195.20670050893295,0.5000001122727851,-195.20670050905318
107.0,195.2054553453743,0.4999999491245282,-195.20545534582766
108.0,195.20661728585102,0.5000000409690633,-195.20661728587777
109.0,195.20554478734607,0.49999926734770367,-195.20554478748025
110.0,195.20667796249285,0.4999993318729599,-195.20667796262575
111.0,195.20539573806664,0.49999986161491033,-195.205395738091
112.0,195.2063318889554,0.5000007927323707,-195.20633188866384
113.0,195.20537451233469,0.499999728394075,-195.20537451256763
114.0,195.2065523602622,0.499999326579902,-195.20655236047136
115.0,195.2053747357695,0.49999963428779465,-195.20537473585284
116.0,195.20636783924732,0.5000000327525504,-195.20636783954464
117.0,195.20518302390917,0.5000004362284173,-195.20518302424318
118.0,195.20617715338173,0.500000761574053,-195.2061771535628
119.0,195.20533677864006,0.4999994889111835,-195.2053367791296
120.0,195.20625997098375,0.5000001143644311,-195.2062599711383
121.0,195.20524030486047,0.49999987977636107,-195.20524030486933
122.0,195.20619420734235,0.5000002321872574,-195.20619420777047
123.0,195.2051646135557,0.5000001622530243,-195.20516461358403
124.0,195.20613383764785,0.5000003618711617,-195.206133837978
125.0,195.20512022888317,0.5000003023880305,-195.20512022888852
126.0,195.2060953774939,0.5000003959696734,-195.20609537752625
127.0,195.20511307954575,0.5000002687439539,-195.20511307949957
128.0,195.2060877487413,0.5000002899920113,-195.20608774864118
129.0,195.20514544983604,0.5000000496071754,-195.2051454500609
130.0,195.20611305075127,0.5000000306972663,-195.20611305114767
131.0,195.20521514133753,0.49999965602107693,-195.20521514152023
132.0,195.20617078984748,0.4999996199435671,-195.20617078999172
133.0,195.204995097083,0.500000753244,-195.20499509673385
134.0,195.20602369694873,0.5000002818695705,-195.20602369702476
135.0,195.2050941622643,0.5000002068342471,-195.20509416223777
136.0,195.2060814927767,0.49999990399624333,-195.2060814927179
137.0,195.20524370657103,0.49999943267760044,-195.2052437068019
138.0,195.20619757764564,0.4999992347600149,-195.2061975773022
139.0,195.20510394338785,0.5000001483275885,-195.20510394345217
140.0,195.20611665844504,0.4999995882654963,-195.2061166584709
141.0,195.20528169536084,0.49999922593309504,-195.2052816953015
142.0,195.20593625132523,0.5000004859107462,-195.2059362514317
143.0,195.20522423707376,0.4999994444516341,-195.2052242372851
144.0,195.20608236115027,0.499999662750634,-195.2060823612426
145.0,195.2050833820712,0.5000002022473506,-195.20508338227546
146.0,195.20603977333798,0.4999998496383999,-195.20603977336296
147.0,195.20528224475186,0.49999919631075573,-195.2052822447067
148.0,195.20589834166876,0.5000005688881572,-195.2058983417179
149.0,195.20525369766975,0.499999285724532,-195.20525369827837
150.0,195.2060847756016,0.4999995535896202,-195.20608477555692
151.0,195.20515026395498,0.49999986203531144,-195.20515026435527
152.0,195.20608334075428,0.4999995375855616,-195.20608334073904
153.0,195.205058035149,0.5000003445477398,-195.20505803542275
154.0,195.20604543798066,0.49999971415184347,-195.20604543802366
155.0,195.20497427007666,0.5000007733997317,-195.2049742701447
156.0,195.20599428642663,0.49999996212353004,-195.20599428657155
157.0,195.20522323217034,0.49999950524154846,-195.20522323228528
158.0,195.20586898607536,0.5000006119610807,-195.2058689856887
159.0,195.20523773195217,0.49999937647178855,-195.20523773191871
160.0,195.20608094177965,0.49999947668952993,-195.2060809419721
161.0,195.20517341365377,0.4999997570686251,-195.20517341388688
162.0,195.20610771086217,0.49999932448093004,-195.206107711074
163.0,195.20511648805646,0.5000000639661263,-195.20511648787937
164.0,195.20609796620852,0.4999993636457064,-195.20609796644638
165.0,195.20506443193642,0.5000003354614893,-195.20506443214794
166.0,195.20607369054812,0.4999994797931471,-195.2060736910953
167.0,195.20501569325677,0.5000005856711544,-195.20501569354064
168.0,195.20604314132495,0.4999996295953417,-195.20604314143424
169.0,195.2049698863056,0.500000819267779,-195.20496988653557
170.0,195.20601018591043,0.4999997927881063,-195.20601018614022
171.0,195.2052543853286,0.4999993715186669,-195.20525438508326
172.0,195.20591047899188,0.5000003167872553,-195.2059104794043
173.0,195.20497851359156,0.500000707294171,-195.204978513774
174.0,195.20592311800277,0.5000002437028699,-195.20592311808923
175.0,195.20522409429032,0.4999994993378509,-195.20522409467645
176.0,195.20582733824227,0.5000007271935123,-195.20582733835664
177.0,195.2052567539319,0.4999992907470855,-195.20525675401052
178.0,195.20607678013795,0.49999940884661914,-195.2060767806633
179.0,195.20521606740317,0.49999955892388753,-195.20521606715965
180.0,195.2058320104761,0.5000006747438166,-195.20583201059014
181.0,195.20523606473085,0.49999941283033356,-195.20523606436478
182.0,195.20605547403449,0.49999950107420765,-195.20605547397912
183.0,195.20518166186963,0.49999973934023295,-195.20518166197604
184.0,195.20610619513653,0.4999992384850073,-195.20610619530157
185.0,195.20514349813106,0.4999999523258323,-195.20514349833732
186.0,195.20581914574083,0.5000007231795022,-195.20581914569112
187.0,195.20517014927358,0.49999976722722733,-195.20517014912627
188.0,195.20602404413196,0.4999996504044409,-195.20602404401745
189.0,195.2051148752143,0.5000000883178134,-195.2051148754389
190.0,195.20606637048473,0.499999433817504,-195.20606637087778
191.0,195.2050778292078,0.5000002916797847,-195.20507782937622
192.0,195.20607977411896,0.49999936456557503,-195.20607977442802
193.0,195.205049940047,0.5000004417718786,-195.2050499402946
194.0,195.20608128482525,0.4999993560155006,-195.2060812852144
195.0,195.20502661943493,0.5000005653308632,-195.20502661943374
196.0,195.20607703035722,0.49999937684121465,-195.20607703062666
197.0,195.20500604399237,0.5000006732781985,-195.2050060443933
198.0,195.20606985503116,0.4999994125974729,-195.2060698552375
199.0,195.20498730447417,0.500000771023096,-195.20498730466159
200.0,195.2060612722721,0.49999945559946696,-195.20606127239336
