iter,compliance,volume,tip_dy,pcg_res,beta,penal,pcg_iters
1,1583.0145184292587,0.4296606387962679,-1583.0145184292587,8.371350360387307e-09,1.0,3.0,438
2,646.2492376506743,0.5000009912657034,-646.2492376506743,9.25916898366158e-09,1.0,3.0,428
3,449.54153258228644,0.49999279034105215,-449.54153258228644,9.61763235435181e-09,1.0,3.0,460
4,363.14190647528096,0.5000033058438902,-363.14190647528096,9.999748802529597e-09,1.0,3.0,471
5,325.40480721058407,0.49998404536039587,-325.40480721058407,9.211284220112475e-09,1.0,3.0,486
6,299.9910959393526,0.5000024072523402,-299.9910959393526,9.88629452116199e-09,1.0,3.0,483
7,282.23020095793476,0.49998952952268316,-282.23020095793476,8.125375608838326e-09,1.0,3.0,491
8,269.31313428044206,0.49999248253801604,-269.31313428044206,9.99001678465414e-09,1.0,3.0,485
9,260.1462281227178,0.4999889839605466,-260.1462281227178,8.666257627747655e-09,1.0,3.0,489
10,252.42786923384938,0.4999872854608744,-252.42786923384938,9.860483107115383e-09,1.0,3.0,484
11,246.5782915665536,0.5000107609412756,-246.5782915665536,9.311281157094939e-09,1.0,3.0,487
12,242.18082170000326,0.4999949751263202,-242.18082170000326,7.466461440085171e-09,1.0,3.0,486
13,238.47873555802147,0.4999946829754622,-238.47873555802144,8.758281800122251e-09,1.0,3.0,486
14,235.89673446519612,0.49999617277833003,-235.8967344651961,6.646417895609192e-09,1.0,3.0,486
15,233.71843725107823,0.5000020422696155,-233.71843725107823,7.640313685151415e-09,1.0,3.0,492
16,231.9916566141961,0.5000019478774823,-231.9916566141961,9.017655174587964e-09,1.0,3.0,492
17,230.35784478066773,0.4999984019594764,-230.35784478066773,9.913068980532135e-09,1.0,3.0,487
18,228.78262212669713,0.49999621654385923,-228.7826221266971,8.170816770583886e-09,1.0,3.0,493
19,227.31084022593146,0.5000036164919829,-227.31084022593143,7.176409704207033e-09,1.0,3.0,495
20,226.0959106155267,0.5000029222197329,-226.0959106155267,9.869386643081872e-09,1.0,3.0,496
21,218.2411672547267,0.502920499742683,-218.2411672547267,7.746668053982296e-09,2.0,3.0,499
22,218.95509060623627,0.5000022026282598,-218.95509060623624,7.70715050541068e-09,2.0,3.0,501
23,218.2344358141334,0.4999963975725885,-218.2344358141334,7.3077273338663955e-09,2.0,3.0,502
24,217.5333043157778,0.5000006380091211,-217.53330431577777,7.2119649474772165e-09,2.0,3.0,503
25,216.8474234023043,0.4999966346361213,-216.84742340230432,8.185935055112107e-09,2.0,3.0,504
26,227.87459234243198,0.5000037679756867,-227.87459234243198,8.572407676909984e-09,2.0,4.0,523
27,226.58414200790617,0.5000016590887079,-226.58414200790617,8.775628377873578e-09,2.0,4.0,523
28,225.67693847020456,0.4999998614183186,-225.67693847020456,7.100119840846086e-09,2.0,4.0,524
29,224.8652805969351,0.500000913511053,-224.8652805969351,7.787216167402622e-09,2.0,4.0,525
30,224.1114058672561,0.4999988146598573,-224.1114058672561,7.229196161691092e-09,2.0,4.0,529
31,223.47116789666805,0.499998628751304,-223.47116789666802,7.013966960401746e-09,2.0,4.0,530
32,222.9469842069223,0.5000014361034489,-222.9469842069223,7.368759098041599e-09,2.0,4.0,530
33,222.52440711320514,0.5000013050577254,-222.52440711320514,6.731839988229973e-09,2.0,4.0,531
34,222.20593700756686,0.4999997432519777,-222.20593700756683,9.500308179481381e-09,2.0,4.0,530
35,221.951835316148,0.5000004765251382,-221.951835316148,7.63716580708714e-09,2.0,4.0,531
36,221.7578031835119,0.5000006649567497,-221.75780318351187,9.330457189373366e-09,2.0,4.0,531
37,221.6053483968198,0.49999891778906896,-221.6053483968198,7.741227850264645e-09,2.0,4.0,528
38,221.46813559855235,0.5000005350166286,-221.46813559855235,8.42430543140862e-09,2.0,4.0,528
39,221.3346953200574,0.49999974053507446,-221.33469532005742,7.82809704761856e-09,2.0,4.0,532
40,221.21285498626753,0.4999992020275964,-221.2128549862675,8.538223949593644e-09,2.0,4.0,532
41,205.5722596089696,0.5021257446031648,-205.57225960896963,9.061316201116246e-09,4.0,4.0,521
42,206.20375664709871,0.4999987503144917,-206.20375664709871,8.139230977579557e-09,4.0,4.0,535
43,206.07555462350336,0.49999885258502846,-206.0755546235034,7.873897317184037e-09,4.0,4.0,536
44,205.9843588030328,0.5000010189443945,-205.9843588030328,6.966987538186041e-09,4.0,4.0,535
45,205.91619830606433,0.5000001905109978,-205.9161983060643,8.803606575042407e-09,4.0,4.0,535
46,205.85971307364898,0.5000014514500268,-205.85971307364898,9.279956455540568e-09,4.0,4.0,535
47,205.81053867720908,0.5000010634904696,-205.8105386772091,9.634121957638583e-09,4.0,4.0,535
48,205.76538239754447,0.49999917131872385,-205.76538239754447,8.271985872221947e-09,4.0,4.0,537
49,205.72853657579884,0.4999991408094864,-205.72853657579884,7.167073052227549e-09,4.0,4.0,537
50,205.70273567084692,0.4999987546440655,-205.70273567084692,7.280219150155708e-09,4.0,4.0,538
51,205.68254517294142,0.5000005142439398,-205.6825451729414,7.933328971406889e-09,4.0,4.0,538
52,205.66606570575317,0.4999986134560733,-205.66606570575314,8.03960841431943e-09,4.0,4.0,538
53,205.64819607571764,0.49999942707947176,-205.64819607571764,8.165305907509474e-09,4.0,4.0,538
54,205.62799813752076,0.49999975543400604,-205.62799813752073,8.270339546634887e-09,4.0,4.0,538
