iter,compliance,volume,tip_dy
1.0,994.6732027510544,0.5,-994.673202755982
2.0,589.0373157750644,0.4999915869084626,-589.0373157751899
3.0,417.920197918404,0.49997565360546264,-417.9201979184294
4.0,339.4822976881793,0.50000785849891,-339.4822976881347
5.0,308.3314077738669,0.49997544025997415,-308.3314077739927
6.0,285.56439489143656,0.5000125686701488,-285.5643948914751
7.0,264.1538730495462,0.50000131623227,-264.1538730496044
8.0,247.42417283704572,0.5000156522170329,-247.42417283699825
9.0,234.657452117533,0.4999837130702404,-234.65745211756513
10.0,225.18070099774428,0.5000063408156287,-225.18070099770517
11.0,219.13192595712005,0.49999899109169454,-219.13192595726895
12.0,215.33564423275828,0.5000073493151396,-215.33564423272566
13.0,213.0044625421095,0.5000021282871933,-213.0044625419918
14.0,211.5587192909199,0.4999947705480735,-211.5587192907372
15.0,210.6292711211284,0.49999811182371834,-210.62927112116287
16.0,209.94692183210304,0.5000008242501247,-209.94692183218842
17.0,209.4473526378306,0.5000009912621808,-209.4473526376185
18.0,209.05662576307333,0.49999758911252334,-209.05662576299997
19.0,208.73931032557257,0.49999944634909327,-208.7393103252656
20.0,208.53575030774869,0.5000007645530528,-208.53575030784273
21.0,202.86530960173775,0.5014668150944338,-202.86530960169657
22.0,203.25916477363518,0.4999960926860429,-203.2591647735038
23.0,203.10721032845817,0.5000008842585264,-203.10721032829417
24.0,202.95111191256527,0.4999972365531041,-202.95111191249327
25.0,202.77100741899162,0.49999969256304344,-202.77100741887514
26.0,211.97406658530093,0.49999785403488844,-211.97406658525287
27.0,211.72954568041223,0.49999981116277825,-211.72954568055366
28.0,211.46574658509513,0.5000009160971389,-211.46574658506887
29.0,211.13167050296522,0.49999749668400545,-211.1316705028456
30.0,210.7841778416158,0.5000010334223133,-210.78417784162033
31.0,210.59881452854722,0.49999836477212406,-210.5988145285375
32.0,210.50150494628573,0.4999985122561096,-210.5015049462703
33.0,210.42570922928297,0.5000016875695598,-210.42570922942093
34.0,210.36703327437286,0.5000002498069228,-210.36703327456053
